TrialNumber,session_type,mean_rt,std_rt
1,Calming,391.3454545454546,311.8642505305246
1,Vexing,262.3636363636364,181.73570523004796
2,Calming,432.58181818181816,375.55056542271967
2,Vexing,375.0272727272727,333.19778018057735
3,Calming,365.53636363636366,364.93668364419665
3,Vexing,302.4,225.3276187683537
4,Calming,297.41818181818184,212.40658526645024
4,Vexing,304.6636363636364,297.4098052242668
5,Calming,442.25454545454545,346.58799368193706
5,Vexing,291.26363636363635,184.36211263112466
6,Calming,293.8181818181818,231.8128073425626
6,Vexing,365.7909090909091,310.23510160073926
7,Calming,272.7,210.50792876610248
7,Vexing,236.38181818181818,169.19301077688303
8,Calming,409.7181818181818,349.06212826824867
8,Vexing,326.05454545454546,272.03078739561056
9,Calming,304.2,221.91674610500863
9,Vexing,348.53636363636366,282.62987360600334
10,Calming,305.3818181818182,241.34964479471574
10,Vexing,312.8090909090909,275.47575179106786
11,Calming,369.08181818181816,319.7274966959409
11,Vexing,268.3454545454546,180.57169337146732
12,Calming,399.27272727272725,334.50927796929585
12,Vexing,272.9727272727273,210.8153441785432
13,Calming,319.3818181818182,209.37718836071465
13,Vexing,225.23636363636365,163.06265623439103
14,Calming,375.41818181818184,335.35265244403695
14,Vexing,350.3636363636364,314.3200241229266
15,Calming,263.96363636363634,208.0048485352648
15,Vexing,249.8181818181818,222.34988469981658
